tweet,probability,Classification,True_class
constitutionday revered conservatives hated progressives socialist democrats want change ,0.6424466617800688,NOT,NOT
foxnews nra maga potus trump ndamendment rnc usmc veterans fakereporting theswamp dnc liberals fakeoutrage first reduces ca,0.6745063684151225,NOT,NOT
watching boomer getting news still parole always makes smile wentworth finale treasure,0.8688508881763136,NOT,OFF
nopasaran unity demo oppose far right london antifa oct enough enough,0.7645304310069764,NOT,OFF
 fuck time,0.4064705363467177,OFF,NOT
rap form art used express freely gv green light excuse behavior acting like animal streets bx violence way living elevate boo get level longevity queen,0.5646449041811503,NOT,OFF
 get feeling kissing behind humiliate later,0.5961220153190412,NOT,NOT
tips enhance audience connection facebook socialmedia smm,0.7873789887890563,NOT,NOT
biggbosstamil janani task going first final list,0.8427573703843209,NOT,NOT
conservatives party low taxation tories tory,0.8524611775891494,NOT,NOT
 nord cannot make single move fully aware happening chill comes spine ghostly rather calm female voice called corner room even time attempt response,0.6876097596809672,NOT,NOT
constoo place fed conservatives,0.8688508881763136,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.7444080466636963,NOT,OFF
nigga ware da hits ,0.39620604561804484,OFF,OFF
stopkavanaugh liar like rest gop,0.5627461226207952,NOT,NOT
dayspromo week september th days dool coma things gal sami going ok hattie thanks get finishes hattie pretends marlena look kayla face priceless,0.7822845927218451,NOT,NOT
biggbosstelugu lets include tweets business head star maa network dont know knows biggboss team host hurting audience emotions biggbosstelugu,0.578765683677781,NOT,NOT
dallas policewoman kills neighbor apartment went wrong see officer shot man apartment involved shooting suspect devastated said dallas police officer adds sorry family,0.4842908171094894,OFF,NOT
always smack,0.8688508881763136,NOT,NOT
breaking week long trial linn county jury convicted gregory davis first degree murder connection carrie davis homicide took place almost year ago,0.7561992941706699,NOT,NOT
kavanaugh wild claim years ago groping evolved rape violent sexual event move soros based org supports blm antifa etc unbeievable,0.6698933240459961,NOT,NOT
kznlt enjouji really prototype character brand nothing things love rolled one horrible package fed directly baby subconscious,0.7690344686067392,NOT,NOT
silsilabadallterishtonka tag filled appreciation never watched serial always wanted appreciation aditi underrated since starting show worth appreciation,0.5123536465360756,NOT,NOT
beto betoforsenate betoorourke betofortx willie nelson laughs conservatives upset ,0.5380348882446147,NOT,NOT
hiac damn matt hardy randy orton put one hell cell match woooo hope okay,0.7028378486755339,NOT,NOT
school shootings controversial wanting gun control ,0.6047282673062908,NOT,OFF
put delauro police lineup identifying bag lady would picked everytime proof either conn voters incompetent vote part vast voter fraud conspiracy one votes woman gross,0.6305121560156108,NOT,NOT
coffee spit spartacus moment never saw film,0.652325370947978,NOT,OFF
 family friends tell bad shit bf gf go right back ,0.6078312720454676,NOT,OFF
christineblaseyford kavanaugh accuser liberals try every time confirmjudgekavanaugh,0.6772000260004791,NOT,NOT
fellow democrats want well best america purely politics dov hikind democratic ny assemblyman,0.697653081121197,NOT,NOT
osho quotes via listen continuously giving hints still small voice shout true little silent start feeling way person never try,0.6335677838015299,NOT,NOT
yyc looking hockey players ages abilities humboldt tribute game sunday arrive pm dress participate opening ceremony contact lindsay clothier interested weplayforthem humboldtstrong hockeyisfamily gonucks,0.7671836373556379,NOT,NOT
conservatives brexit putting britain last sending chill spine uk,0.8688508881763136,NOT,NOT
gamers go follow twitter twitch playing blackops blackout please help support twitter twitch remember supportforsupport supportallstreamers,0.691729060756499,NOT,NOT
quicktip find people already working company within industry interested know lot people send us resume info message us right ,0.7593671530182436,NOT,NOT
liberallogic liberals get way,0.5639023278990793,NOT,OFF
arianaasesina serious holy shit please fucking assholes blame someone death one sad enough today see fault none overdose died end stop wanting someone blame fuckers,0.5048003248120192,NOT,OFF
 hiding ugly personality worst,0.441521652516944,OFF,OFF
bitch ,0.0720247417104255,OFF,NOT
georgetown classmate says left accuser absolutely nuts judge kavanaugh abc cbs democrats liberals women mondaymotivation mondaymorning veterans law maga gop cnn msnbc nbc moms blackwomen bet,0.6403496565005306,NOT,NOT
 referring lollygag gun control kids get slaughtered schools,0.6933554876336965,NOT,OFF
im shocked learn human traffickers guns probably illegal ca needs gun control dont worry actual crime pic black guns worse,0.5950075647471039,NOT,NOT
weloveseungcheol happy proud work done train seventeen along members see wonderful incredible really love u,0.7830127519479455,NOT,NOT
chequers violation democracy standupbrexit people must respected,0.6990098173168953,NOT,NOT
sessions tells chicago want shootings death listen aclu antifa blacklivesmatter,0.6203655985310976,NOT,OFF
conservatives clown,0.6906617180681761,NOT,OFF
voice head transfer money credit card bullshit bought pay ,0.632688156847147,NOT,NOT
levi strauss never afraid take unpopular stand support greater good shut manufacturing america even news story happened maybe right unpopular,0.6682951259935825,NOT,NOT
 wedding clinton always know best,0.4660328435714073,OFF,OFF
kids beating paraplegic trump boy left teach children hate violence schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga,0.6103027726736687,NOT,NOT
b j r b q b bx b rb z b q b h b h ut b,0.6627387391880382,NOT,NOT
askally say adore great person please take care always,0.740933211241065,NOT,NOT
doj employee resisters r looking conservatives license plates home addresses legal details lexisnexis give dem socialists antifa project veritas worry govt history ever made political opponent lists oppressed ,0.7067294230958119,NOT,NOT
kelly mcparland latest floor crosser telling truths liberals dont like hearing,0.6880417561532431,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.7444080466636963,NOT,NOT
boycottlevis since late levis used name resources attack gun rights company gave gun control group pax followed donation another ,0.7580450035726043,NOT,NOT
 fucking serious,0.3446266308421616,OFF,OFF
gets bitches,0.34746707430645907,OFF,NOT
 got pretty deep debate friend told latinos trump blacks trump paid supporters said mean antifa paid domestic terrorist said anti fascist said fascist kidding ,0.7374109763896534,NOT,OFF
antifa take note protest civility socialism aka communism never win inherently evil unsustainable,0.6731076046172986,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7173884582335652,NOT,OFF
omg real happened peru like years ago inti devaluated fucking much comoletely change coin system money worthless ,0.6275852430498561,NOT,OFF
conservatism disagreements conservatives conservatives debate honestly integrity whatever gets thru today matters fundamentally dishonest people,0.6242915993672085,NOT,NOT
halloween sign reading creepingup behind wood wall decoration tmtinsta cwsigns via,0.8358159165272832,NOT,NOT
huniachiweek matter going today past days situation never permanent god going change life good trust believe able please read,0.7578627714593268,NOT,NOT
 point contention decided keep group top end talent also decided hire hot trash mike mccoy wilks even able get defense line correctly head,0.7109655499239866,NOT,NOT
 yet everyone seems lack ,0.7329832424155946,NOT,NOT
maga expect censorship,0.8384732548470463,NOT,OFF
 apparently committed going new level since used key well fuck curiosity killed cat hy,0.7159835579931644,NOT,NOT
ne need check dentist find perfect work record child care facility check online kinds licensed professionals free,0.6560110887048113,NOT,OFF
 arent many shootings virginia jacksonville shooter got guns maryland among poster children gun control good youre full crap,0.6334953656397244,NOT,NOT
amnesty international us violation international human rights law passing stronger gun control via,0.6641629961118934,NOT,NOT
well chuck schumer cousin niece something obviously part dnc conspiracy nixon part deep state zionist plot big comedy whatever hell today conspiracy theory ,0.7284732904216573,NOT,NOT
godspraiseroom god keeps even storms may rock boat let submit one really knows end beginning,0.8154898217704016,NOT,NOT
spaldo guy godson,0.5424038118680197,NOT,OFF
antifa bedfellows democratic socialists america dsa jamesokeefe exposed inserted throughout government attempting bring america trump maga deepstate,0.6227078833346019,NOT,NOT
cnn ruthlessly continues fakenews onslot honest analysis right tcot cnn nra massshooting cnnisfakenews conservatives fakenewsmedia fakenews pba fakenewscnn,0.6879321087191996,NOT,NOT
brexit barometer labour fails capitalise conservatives fail please kantar nearly two thirds uk believe government handling brexit negotations poorly,0.8597408354231219,NOT,OFF
antifa ts level influence scary,0.8057872605006429,NOT,OFF
 three accounts two quasi anonymous one completely anon twitter ever bans one quasi anon make two anon accounts tweet insane shit drown twitter bullshit one banned make even ,0.6986866529531945,NOT,NOT
maga alert joe biden trump supporters dregs society video via,0.5746956294403714,NOT,NOT
cerc boyd stock sole holder stock among hedge funds track,0.7394457217020002,NOT,NOT
city chicago democrat run strictest gun control nation point notthatbright,0.5528410970183263,NOT,OFF
liberals pathetic innocent proven guilty mean much democrats look party need rapist hang kavanaughisinnocent walkawayfromdemocrats liberallies straight pitts hell,0.5140502732778411,NOT,NOT
trump may many things entertaining thanks twitter,0.7890450371271276,NOT,OFF
million reallocated fema ice guy gives zero shits anyone named trump youre mid atlantic get ,0.6113095637232668,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.7309589249410346,NOT,NOT
 read man invented bulbs saw failure differently new wayz differently genius,0.7463713773726315,NOT,NOT
aunfettered repeal gun control laws government use people able well,0.7502890425520459,NOT,NOT
good thing responsible us marines im pretty sure group antifa members wouldnt running fast direction help anyone let alone elder seniors thank salute ,0.612031934365312,NOT,NOT
fordtheatre right cue gofundme acct set person new liberals mode bribery payoffs really investigate gofundme new outlet slush funds comey mccabe strzok,0.6978700389602805,NOT,NOT
christian twitter facebook silence conservatives christians next censored darkness takes help us grow living faith aloud go one go prayer warriors please help us grow movement,0.7432872938453381,NOT,NOT
ixine aus den speakern fick deine political correctness,0.9093337210048508,NOT,NOT
fall fashion trending coats colors looking airdrie calgary lethbridge toronto vancouver princegeorge,0.8105076817612549,NOT,NOT
republicans put wallin budget going loose pres trump followers u r support ,0.6470420302601155,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7173884582335652,NOT,OFF
sesamestreet bertandernie conversation unattractive creator says create character gay attacked,0.6590515610084873,NOT,OFF
serenawilliams full painful watch listen ,0.7383656679293908,NOT,OFF
colinkapernaeck done nothing sit ass complain time black people die hard white liberals think cause aka wake heck stfu colin civil rights hero martyr near ,0.5382344605402994,NOT,NOT
danganronpav claiming mastermind yet still dont believe dont think hes mastermind evidence suggests theres evidence suggests hes ,0.6488278018440558,NOT,NOT
monbebeselcaday beautiful,0.8688508881763136,NOT,NOT
lockhimupnow maga qanon best president ever,0.8222094038187607,NOT,NOT
goodbyenfl great players became marxists ill keep nixing sports league displays support bs oppression narrative goodbyenike,0.801319896995661,NOT,NOT
liberals left democrats resist resistance antifa bluewave bluewave walkaway maga,0.6995828403374914,NOT,NOT
emailmarketing sales teach create exclusive online traffic economy never short leads sales ,0.7340307085489111,NOT,OFF
jeff sessions listen aclu antifa black lives matter want chicago shootings,0.5094077340902916,NOT,OFF
amazon ship live christmas trees door stay put damn lights,0.7861348394769436,NOT,NOT
 sweet congratulations house broken get better,0.8543217635222284,NOT,OFF
 bet lot safer sex tho wouldnt one kids cant moms get dicked ,0.6345211339867198,NOT,NOT
 speaks nsfw,0.8769145775626669,NOT,NOT
jameycomey silent last weeks knows going indicted fbi doj strzok page textmessages qanon patriotsfight ty maga,0.696353274147314,NOT,NOT
supernaturaltnt themanwhowouldbeking omg amazing crowley cas always great together miss ,0.8688508881763136,NOT,NOT
available adoption lincoln county nc roger sex male neutered age weeks old intake,0.7246163576688789,NOT,OFF
conservatives govt made life hell whistleblowers say threatened regulator thought govt promised protect whistleblowers,0.7348498400685854,NOT,NOT
apple live keynote appleevents,0.6236423687955908,NOT,NOT
zuckerberg lies,0.4400375231022663,OFF,NOT
lilduval know u aint going work tomorrow happyfriday smilebitch livingmybestlife hittemwithdashoulders,0.5240551647451286,NOT,NOT
antifahorst whuuuuut antifa maassen seehofer,0.7846315766874608,NOT,NOT
notetomystalker n empire trust penance life n career true nature leave stone unturned getting left nothing every one matter powerful ,0.576390135697723,NOT,NOT
freeleahshaibu negotiate release someone daughter,0.4897450055417166,OFF,NOT
serenawilliams serena caught cheating coach collaborative thinks thief mind real thief umpire spotted going called like couple bank robbers blaming guard calling police,0.6759202041394641,NOT,NOT
antifa retweet cant stop watching ,0.6489613118105165,NOT,NOT
notout thank following leicester voteforchange localelections votetory voteconservative cutcrime cutredtape cuttaxes cutgrass betterserviceslowertaxes,0.8688508881763136,NOT,NOT
