tweet,probability,Classification,True_class
constitutionday revered conservatives hated progressives socialist democrats want change ,0.7589158012701193,NOT,NOT
foxnews nra maga potus trump ndamendment rnc usmc veterans fakereporting theswamp dnc liberals fakeoutrage first reduces ca,0.6421610200015424,NOT,NOT
watching boomer getting news still parole always makes smile wentworth finale treasure,0.8019362562478516,NOT,OFF
nopasaran unity demo oppose far right london antifa oct enough enough,0.6797252333838671,NOT,OFF
 fuck time,0.4922132015637345,OFF,NOT
rap form art used express freely gv green light excuse behavior acting like animal streets bx violence way living elevate boo get level longevity queen,0.6479272617111509,NOT,OFF
 get feeling kissing behind humiliate later,0.4925826319627904,OFF,NOT
tips enhance audience connection facebook socialmedia smm,0.7977920228876865,NOT,NOT
biggbosstamil janani task going first final list,0.8449589187173707,NOT,NOT
conservatives party low taxation tories tory,0.9322592188660068,NOT,NOT
 nord cannot make single move fully aware happening chill comes spine ghostly rather calm female voice called corner room even time attempt response,0.772097311493697,NOT,NOT
constoo place fed conservatives,0.8472218203063236,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.8700415636649348,NOT,OFF
nigga ware da hits ,0.5716937102036035,NOT,OFF
stopkavanaugh liar like rest gop,0.5741364049523359,NOT,NOT
dayspromo week september th days dool coma things gal sami going ok hattie thanks get finishes hattie pretends marlena look kayla face priceless,0.7737008336098152,NOT,NOT
biggbosstelugu lets include tweets business head star maa network dont know knows biggboss team host hurting audience emotions biggbosstelugu,0.6440042983310219,NOT,NOT
dallas policewoman kills neighbor apartment went wrong see officer shot man apartment involved shooting suspect devastated said dallas police officer adds sorry family,0.5378714571453214,NOT,NOT
always smack,0.7696930460177895,NOT,NOT
breaking week long trial linn county jury convicted gregory davis first degree murder connection carrie davis homicide took place almost year ago,0.8216172221692428,NOT,NOT
kavanaugh wild claim years ago groping evolved rape violent sexual event move soros based org supports blm antifa etc unbeievable,0.5452583030952067,NOT,NOT
kznlt enjouji really prototype character brand nothing things love rolled one horrible package fed directly baby subconscious,0.7143607968282202,NOT,NOT
silsilabadallterishtonka tag filled appreciation never watched serial always wanted appreciation aditi underrated since starting show worth appreciation,0.5882035155720575,NOT,NOT
beto betoforsenate betoorourke betofortx willie nelson laughs conservatives upset ,0.6588854460713625,NOT,NOT
hiac damn matt hardy randy orton put one hell cell match woooo hope okay,0.6714515030700394,NOT,NOT
school shootings controversial wanting gun control ,0.5578009221424832,NOT,OFF
put delauro police lineup identifying bag lady would picked everytime proof either conn voters incompetent vote part vast voter fraud conspiracy one votes woman gross,0.6760927400262404,NOT,NOT
coffee spit spartacus moment never saw film,0.684577649225047,NOT,OFF
 family friends tell bad shit bf gf go right back ,0.5797993512955479,NOT,OFF
christineblaseyford kavanaugh accuser liberals try every time confirmjudgekavanaugh,0.743045807277893,NOT,NOT
fellow democrats want well best america purely politics dov hikind democratic ny assemblyman,0.781446085972407,NOT,NOT
osho quotes via listen continuously giving hints still small voice shout true little silent start feeling way person never try,0.6237182567867878,NOT,NOT
yyc looking hockey players ages abilities humboldt tribute game sunday arrive pm dress participate opening ceremony contact lindsay clothier interested weplayforthem humboldtstrong hockeyisfamily gonucks,0.8402859396919039,NOT,NOT
conservatives brexit putting britain last sending chill spine uk,0.9390442474141911,NOT,NOT
gamers go follow twitter twitch playing blackops blackout please help support twitter twitch remember supportforsupport supportallstreamers,0.7655687905602309,NOT,NOT
quicktip find people already working company within industry interested know lot people send us resume info message us right ,0.7501186336158474,NOT,NOT
liberallogic liberals get way,0.597089363905974,NOT,OFF
arianaasesina serious holy shit please fucking assholes blame someone death one sad enough today see fault none overdose died end stop wanting someone blame fuckers,0.4637234509524596,OFF,OFF
 hiding ugly personality worst,0.5684642358526716,NOT,OFF
bitch ,0.46262286273863185,OFF,NOT
georgetown classmate says left accuser absolutely nuts judge kavanaugh abc cbs democrats liberals women mondaymotivation mondaymorning veterans law maga gop cnn msnbc nbc moms blackwomen bet,0.6497159561861925,NOT,NOT
 referring lollygag gun control kids get slaughtered schools,0.7036362112597392,NOT,OFF
im shocked learn human traffickers guns probably illegal ca needs gun control dont worry actual crime pic black guns worse,0.5454504367890107,NOT,NOT
weloveseungcheol happy proud work done train seventeen along members see wonderful incredible really love u,0.7379582543621285,NOT,NOT
chequers violation democracy standupbrexit people must respected,0.8136648733183053,NOT,NOT
sessions tells chicago want shootings death listen aclu antifa blacklivesmatter,0.579248344581705,NOT,OFF
conservatives clown,0.5965345817354001,NOT,OFF
voice head transfer money credit card bullshit bought pay ,0.6635269361158842,NOT,NOT
levi strauss never afraid take unpopular stand support greater good shut manufacturing america even news story happened maybe right unpopular,0.6988209448593424,NOT,NOT
 wedding clinton always know best,0.6139116616778901,NOT,OFF
kids beating paraplegic trump boy left teach children hate violence schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga,0.6686573413481813,NOT,NOT
b j r b q b bx b rb z b q b h b h ut b,0.5876301893974587,NOT,NOT
askally say adore great person please take care always,0.6786944938302518,NOT,NOT
doj employee resisters r looking conservatives license plates home addresses legal details lexisnexis give dem socialists antifa project veritas worry govt history ever made political opponent lists oppressed ,0.7598964066201694,NOT,NOT
kelly mcparland latest floor crosser telling truths liberals dont like hearing,0.6296996753802431,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.8700415636649348,NOT,NOT
boycottlevis since late levis used name resources attack gun rights company gave gun control group pax followed donation another ,0.7548054397449011,NOT,NOT
 fucking serious,0.43664770151825316,OFF,OFF
gets bitches,0.4845276663129662,OFF,NOT
 got pretty deep debate friend told latinos trump blacks trump paid supporters said mean antifa paid domestic terrorist said anti fascist said fascist kidding ,0.6470491976067891,NOT,OFF
antifa take note protest civility socialism aka communism never win inherently evil unsustainable,0.709227480117594,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7223203254800394,NOT,OFF
omg real happened peru like years ago inti devaluated fucking much comoletely change coin system money worthless ,0.5983125294068761,NOT,OFF
conservatism disagreements conservatives conservatives debate honestly integrity whatever gets thru today matters fundamentally dishonest people,0.7285420852440643,NOT,NOT
halloween sign reading creepingup behind wood wall decoration tmtinsta cwsigns via,0.7881488697928265,NOT,NOT
